"North Macedonia","1","0","0","0","Imported cases only","7"
"Poland","1","0","0","0","Imported cases only","1"
"Slovenia","1","1","0","0","Imported cases only","0"
"Ukraine","1","0","0","0","Imported cases only","1"
"Liechtenstein","1","0","0","0","Imported cases only","1"
"Territories**","","","","","",""
"Gibraltar 
1 
0 
0 
0 
Imported cases only 
1","","","","","",""
"South-East Asia Region","","","","","",""
"Thailand","47","4","1","0","Local transmission","0"
"India","29","23","0","0","Local transmission","0"
"Indonesia","2","0","0","0","Local transmission","3"
"Nepal","1","0","0","0","Imported cases only","41"
"Sri Lanka","1","0","0","0","Imported cases only","38"
"Eastern Mediterranean Region","","","","","",""
"Iran (Islamic 
Republic of)","2922","586","92","15","Local transmission","0"
"Kuwait","58","2","0","0","Imported cases only","0"
"Bahrain","49","0","0","0","Imported cases only","2"
"Iraq","36","5","2","2","Imported cases only","0"
"United Arab 
Emirates","27","0","0","0","Local transmission","1"
"Oman","15","3","0","0","Imported cases only","0"
"Lebanon","13","0","0","0","Local transmission","2"
"Qatar","8","0","0","0","Imported cases only","1"
"Pakistan","5","0","0","0","Imported cases only","2"
"Egypt","2","0","0","0","Imported cases only","3"
"Morocco","2","1","0","0","Imported cases only","0"
"Saudi Arabia","2","1","0","0","Imported cases only","0"
"Afghanistan","1","0","0","0","Imported cases only","9"
"Jordan","1","0","0","0","Imported cases only","2"
"Tunisia","1","0","0","0","Imported cases only","2"
"Territories**","","","","","",""
"occupied Palestinian 
4 
4 
0 
0 
Imported cases only 
0 
territory","","","","","",""
"Region of the Americas","","","","","",""
"the United States","129","21","9","3","Local transmission","0"
"Canada","30","0","0","0","Local transmission","1"
"Ecuador","7","0","0","0","Local transmission","1"
"Mexico","5","0","0","0","Imported cases only","3"
"Brazil","3","1","0","0","Imported cases only","0"
"Argentina","1","0","0","0","Imported cases only","1"
"Chile","1","0","0","0","Imported cases only","1"
"Dominican Republic","1","0","0","0","Imported cases only","3"
"Territories**","","","","","",""
"Saint Martin 
2 
0 
0 
0 
Under investigation 
2","","","","","",""
"Saint Barthélemy 
1 
0 
0 
0 
Under investigation 
2","","","","","",""
"African Region","","","","","",""
"Algeria","12","7","0","0","Local transmission","0"
"Senegal","4","3","0","0","Imported cases only","0"
"Nigeria","1","0","0","0","Imported cases only","6"
"Subtotal for all 
regions","14053","2089","260","53","",""
"International","706","0","6","0","Local transmission","3"
