"Cayman Islands","3","2","1","0","Imported cases only","0"
"Curaçao","3","0","0","0","Imported cases only","2"
"Saint Barthélemy","3","0","0","0","Under investigation","4"
"United States Virgin 
Islands","3","0","0","0","Imported cases only","1"
"Sint Maarten","1","0","0","0","Imported cases only","1"
"African Region","","","","","",""
"South Africa","150","34","0","0","Local transmission","0"
"Algeria","82","10","7","1","Local transmission","0"
"Burkina Faso","40","14","1","0","Imported cases only","0"
"Senegal","38","2","0","0","Local transmission","0"
"Cameroon","15","5","0","0","Local transmission","0"
"Democratic Republic 
of the Congo","14","7","0","0","Local transmission","0"
"Nigeria","12","4","0","0","Imported cases only","0"
"Ghana","11","2","0","0","Local transmission","0"
"Rwanda","11","0","0","0","Local transmission","1"
"Cote d’Ivoire","9","0","0","0","Imported cases only","1"
"Ethiopia","9","3","0","0","Imported cases only","0"
"Togo","9","8","0","0","Imported cases only","0"
"Kenya","7","0","0","0","Local transmission","1"
"Mauritius","7","4","0","0","Under investigation","0"
"Seychelles","6","0","0","0","Imported cases only","1"
"United Republic of 
Tanzania","6","3","0","0","Imported cases only","0"
"Equatorial Guinea","4","1","0","0","Imported cases only","0"
"Congo","3","0","0","0","Imported cases only","1"
"Gabon","3","0","0","0","Imported cases only","1"
"Namibia","3","1","0","0","Imported cases only","0"
"Benin","2","1","0","0","Imported cases only","0"
"Guinea","2","1","0","0","Imported cases only","0"
"Liberia","2","0","0","0","Local transmission","1"
"Mauritania","2","0","0","0","Imported cases only","1"
"Zambia","2","0","0","0","Imported cases only","1"
"Central African 
Republic","1","0","0","0","Imported cases only","5"
"Chad","1","1","0","0","Imported cases only","0"
"Eswatini","1","0","0","0","Imported cases only","5"
"Gambia","1","0","0","0","Imported cases only","1"
"Niger","1","1","0","0","Imported cases only","0"
"Territories**","","","","","",""
"Réunion","15","3","0","0","Imported cases only","0"
"Mayotte","4","1","0","0","Imported cases only","0"
"Subtotal for all 
regions","233361","24247","9833","1061","",""
"International 
conveyance 
(Diamond Princess)","712","0","7","0","Local transmission","4"
"Grand total","234073","24247","9840","1061","",""
