"Nigeria","2","0","0","0","Imported cases only","7"
"Seychelles","2","2","0","0","Imported cases only","0"
"Central African 
Republic","1","0","0","0","Imported cases only","1"
"Congo","1","0","0","0","Imported cases only","1"
"Equatorial Guinea","1","0","0","0","Imported cases only","1"
"Eswatini","1","0","0","0","Imported cases only","1"
"Ethiopia","1","0","0","0","Imported cases only","2"
"Gabon","1","0","0","0","Imported cases only","2"
"Guinea","1","0","0","0","Imported cases only","2"
"Kenya","1","0","0","0","Imported cases only","2"
"Mauritania","1","0","0","0","Imported cases only","1"
"Togo","1","0","0","0","Imported cases only","9"
"Territories**","","","","","",""
"Réunion","9","3","0","0","Imported cases only","0"
"Mayotte","1","0","0","0","Imported cases only","1"
"Subtotal for all 
regions","166803","13888","6599","862","",""
"International 
conveyance 
(Diamond Princess)","712","15","7","0","Local transmission","0"
"Grand total","167515","13903","6606","862","",""
