"Eastern Mediterranean Region","","","","","",""
"Iran (Islamic 
Republic of)","978","385","54","11","Local transmission","0"
"Kuwait","56","11","0","0","Imported cases only","0"
"Bahrain","47","7","0","0","Imported cases only","0"
"United Arab 
Emirates","21","2","0","0","Local transmission","0"
"Iraq","19","6","0","0","Imported cases only","0"
"Lebanon","10§§","1","0","0","Imported cases only","0"
"Oman","6","0","0","0","Imported cases only","3"
"Pakistan","4","0","0","0","Imported cases only","1"
"Qatar","3","2","0","0","Imported cases only","0"
"Egypt","2","1","0","0","Imported cases only","0"
"Afghanistan","1","0","0","0","Imported cases only","7"
"Region of the Americas","","","","","",""
"the United States","62","2","0","0","Local transmission","0"
"Canada","19","0","0","0","Local transmission","1"
"Mexico","5","3","0","0","Imported cases only","0"
"Brazil","2","0","0","0","Imported cases only","1"
"Dominican Republic","1","1","0","0","Imported cases only","0"
"Ecuador","1","0","0","0","Imported cases only","1"
"African Region","","","","","",""
"Algeria","1","0","0","0","Imported cases only","6"
"Nigeria","1","0","0","0","Imported cases only","3"
"Subtotal for all 
regions","8068","1599","122","24","",""
"International 
conveyance 
(Diamond Princess) ‡","706","1","6","0","Local transmission","0"
"Grand total§","8774","1600","128","24","",""
