"Cote d’Ivoire","6","3","0","0","Imported cases only","0"
"Ghana","6","0","0","0","Imported cases only","1"
"Cameroon","5","2","0","0","Local transmission","0"
"Ethiopia","5","4","0","0","Imported cases only","0"
"Seychelles","4","2","0","0","Imported cases only","0"
"Democratic Republic 
of the Congo","3","1","0","0","Imported cases only","0"
"Kenya","3","2","0","0","Local transmission","0"
"Namibia","2","0","0","0","Imported cases only","2"
"Nigeria","2","0","0","0","Imported cases only","8"
"Benin","1","1","0","0","Imported cases only","0"
"Central African 
Republic","1","0","0","0","Imported cases only","2"
"Congo","1","0","0","0","Imported cases only","2"
"Equatorial Guinea","1","0","0","0","Imported cases only","2"
"Eswatini","1","0","0","0","Imported cases only","2"
"Gabon","1","0","0","0","Imported cases only","3"
"Guinea","1","0","0","0","Imported cases only","3"
"Liberia","1","1","0","0","Imported cases only","0"
"Mauritania","1","0","0","0","Imported cases only","2"
"Togo","1","0","0","0","Imported cases only","10"
"United Republic of 
Tanzania","1","1","0","0","Imported cases only","0"
"Territories**","","","","","",""
"Réunion","9","0","0","0","Imported cases only","1"
"Mayotte","1","0","0","0","Imported cases only","2"
"Subtotal for all 
regions","178399","11525","7419","475","",""
"International 
conveyance 
(Diamond Princess)","712","0","7","0","Local transmission","1"
"Grand total","179111","11525","7426","475","",""
