"WHO Region","Country/Territory/Area","Confirmed* 
(new) cases","Total 
(new) 
cases with 
travel 
history to 
China","Total (new) cases 
with    possible    
or confirmed 
transmission 
outside of China†","Total (new) 
cases with site 
of transmission 
under 
investigation","Total (new) 
deaths"
"Western Pacific Region","China‡","31 211 (3151)","","","","637 (73)"
"","Singapore","30 (2)","21 (0)","9 (2)","0 (0)","0 (0)"
"","Japan","25 (0)","21 (0)","4 (0)","0 (0)","0 (0)"
"","Republic of Korea","24 (1)","11 (1)","11 (0)","2 (0)","0 (0)"
"","Australia","15 (1)","15 (1)","0 (0)","0 (0)","0 (0)"
"","Malaysia","14 (2)","9 (0)","4 (1)","1 (1)","0 (0)"
"","Viet Nam","12 (2)","7 (0)","5 (2)","0 (0)","0 (0)"
"","Philippines","3 (0)","2 (0)","0 (0)","1 (0)","1 (0)"
"","Cambodia","1 (0)","1 (0)","0 (0)","0 (0)","0 (0)"
"South-East Asia Region","Thailand","25 (0)","21 (0)","4 (0)","0 (0)","0 (0)"
"","India","3 (0)","3 (0)","0 (0)","0 (0)","0 (0)"
"","Nepal","1 (0)","1 (0)","0 (0)","0 (0)","0 (0)"
"","Sri Lanka","1 (0)","1 (0)","0 (0)","0 (0)","0 (0)"
"Region of the Americas","United States of 
America","12 (0)","10 (0)","2 (0)","0 (0)","0 (0)"
"","Canada","7 (2)","6 (2)","0 (0)","1 (0)","0 (0)"
"European Region","Germany","13 (1)","2 (0)","11 (1)","0 (0)","0 (0)"
"","France","6 (0)","5 (0)","1 (0)","0 (0)","0 (0)"
"","Italy","3 (1)","3 (1)","0 (0)","0 (0)","0 (0)"
"","The United Kingdom","3 (1)","1 (0)","2 (1***)","0 (0)","0 (0)"
"","Russian Federation","2 (0)","2 (0)","0 (0)","0 (0)","0 (0)"
"","Belgium","1 (0)","1 (0)","0 (0)","0 (0)","0 (0)"
"","Finland","1 (0)","1 (0)","0 (0)","0 (0)","0 (0)"
"","Spain","1 (0)","0 (0)","1§ (0)","0 (0)","0 (0)"
"","Sweden","1 (0)","1 (0)","0 (0)","0 (0)","0 (0)"
"Eastern Mediterranean 
Region","United Arab Emirates","5 (0)","5 (0)","0 (0)","0 (0)","0 (0)"
"Other","International 
conveyance (Japan)","61** (41)","0 (0)","0 (0)","61 (41)","0 (0)"
